AAA
EXTRACTPS
F2XM1
FABS
FADD
FADDP
FBLD
FBSTP
FCHS
FCLEX
FCMOVB
FCMOVBE
FCMOVE
FCMOVNB
FCMOVNBE
FCMOVNE
FCMOVNU
FCMOVU
FCOM
FCOMI
FCOMIP
FCOMP
FCOMP5
FCOMPP
FCOS
FDECSTP
FDIV
FDIVP
FDIVR
FDIVRP
FEMMS
FFREE
FIADD
FICOM
FICOMP
FIDIV
FIDIVR
FILD
FIMUL
FINCSTP
FINIT
FIST
FISTP
FISTTP
FISUB
FISUBR
FLD
FLD1
FLDCW
FLDENV
FLDL2E
FLDL2T
FLDLG2
FLDLN2
FLDPI
FLDZ
FMUL
FMULP
FNCLEX
FNINIT
FNOP
FNSAVE
FNSTCW
FNSTENV
FNSTSW
FPATAN
FPREM
FPREM1
FPTAN
FRNDINT
FRSTOR
FSAVE
FSCALE
FSIN
FSINCOS
FSQRT
FST
FSTCW
FSTENV
FSTP
FSTP1
FSTP8
FSTP9
FSTSW
FSUB
FSUBP
FSUBR
FSUBRP
FTST
FUCOM
FUCOMI
FUCOMIP
FUCOMP
FUCOMPP
FWAIT
FXAM
FXCH
FXCH4
FXRSTOR
FXRSTOR64
FXSAVE
FXSAVE64
FXTRACT
FYL2X
FYL2XP1
GETSEC
HADDPD
HADDPS
HLT
HSUBPD
HSUBPS
ICEBP
IDIV
IMUL
IN
INC
INITOBJ
INS
INSB
INSD
INSERTPS
INSW
INT
INTO
INVD
INVLPG
INVPCID
IRET
IRETD
IRETQ
IRETW
ISINST
JA
JAE
JB
JBE
JC
JCXZ
JE
JECXZ
JG
JGE
JL
JLE
JMP
JNA
JNAE
JNB
JNBE
JNC
JNE
JNG
JNGE
JNL
JNLE
JNO
JNP
JNS
JNZ
JO
JP
JPE
JPO
JRCXZ
JS
JZ
KADDB
KADDD
KADDQ
KADDW
KANDB
KANDD
KANDNB
KANDND
KANDNQ
KANDNW
KANDQ
KANDW
KMOVB
KMOVD
KMOVQ
KMOVW
KNOTB
KNOTD
KNOTQ
KNOTW
KORB
KORD
KORQ
KORTESTB
KORTESTD
KORTESTQ
KORTESTW
KORW
KSHIFTLB
KSHIFTLD
KSHIFTLQ
KSHIFTLW
KSHIFTRB
KSHIFTRD
KSHIFTRQ
KSHIFTRW
KTESTB
KTESTD
KTESTQ
KTESTW
KUNPCKBW
KUNPCKDQ
KUNPCKWD
KXNORB
KXNORD
KXNORQ
KXNORW
KXORB
KXORD
KXORQ
KXORW
LAHF
LAR
LDARG.0
LDARG.1
LDARG.2
LDARG.3
LDARG.S
LDARGA.S
LDC.I4
LDC.I4.0
LDC.I4.1
LDC.I4.2
LDC.I4.3
LDC.I4.4
LDC.I4.5
LDC.I4.6
LDC.I4.7
LDC.I4.8
LDC.I4.M1
LDC.I4.S
LDC.I8
LDC.R4
LDC.R8
LDDQU
LDELEM
LDELEM.I
LDELEM.I1
LDELEM.I2
LDELEM.I4
LDELEM.I8
LDELEM.REF
LDELEM.U1
LDELEM.U2
LDELEM.U4
LDELEMA
LDFLD
LDFLDA
LDFTN
LDIND.I
LDIND.I1
LDIND.I4
LDIND.I8
LDIND.R4
LDIND.R8
LDIND.REF
LDIND.U1
LDIND.U4
LDLEN
LDLOC
LDLOC.0
LDLOC.1
LDLOC.2
LDLOC.3
LDLOC.S
LDLOCA
LDLOCA.S
LDM
LDMXCSR
LDNULL
LDOBJ
LDR
LDS
LDSFLD
LDSFLDA
LDSTR
LDTOKEN
LDVIRTFTN
LEA
LEAVE
LEAVE.S
LEAVEQ
LES
LFENCE
LFS
LGDT
LGS
LIDT
LLDT
LMSW
LOCK
LODS
LODSB
LODSD
LODSQ
LODSW
LOOP
LOOPE
LOOPNE
LSL
LSR
LSS
LTR
LZCNT
MASKMOVDQU
MASKMOVQ
MAXPD
MAXPS
MAXSD
MAXSS
MFENCE
MINPD
MINPS
MINSD
MINSS
MONITOR
MOV
MOVAPD
MOVAPS
MOVBE
MOVD
MOVDDUP
MOVDQ2Q
MOVDQA
MOVDQU
MOVHLPS
MOVHPD
MOVHPS
MOVLHPS
MOVLPD
MOVLPS
MOVMSKPD
MOVMSKPS
MOVNTDQ
MOVNTDQA
MOVNTI
MOVNTPD
MOVNTPS
MOVNTQ
MOVQ
MOVQ2DQ
MOVS
MOVSB
MOVSD
MOVSHDUP
MOVSLDUP
MOVSQ
MOVSS
MOVSW
MOVSX
MOVSXD
MOVUPD
MOVUPS
MOVZX
MPSADBW
MSR
MUL
MUL.OVF
MULPD
MULPS
MULSD
MULSS
MULX
MVN
MWAIT
NEG
NEWARR
NEWOBJ
NOP
NOT
OR
ORPD
ORPS
ORR
OUT
OUTS
OUTSB
OUTSD
OUTSW
PABSB
PABSD
PABSW
PACKSSDW
PACKSSWB
PACKUSDW
PACKUSWB
PADDB
PADDD
PADDQ
PADDSB
PADDSW
PADDUSB
PADDUSW
PADDW
PALIGNR
PAND
PANDN
PAUSE
PAVGB
PAVGW
PBLENDVB
PBLENDW
PCLMULQDQ
PCMPEQB
PCMPEQD
PCMPEQQ
PCMPEQW
PCMPESTRI
PCMPESTRM
PCMPGTB
PCMPGTD
PCMPGTQ
PCMPGTW
PCMPISTRI
PCMPISTRM
PDEP
PEXT
PEXTRB
PEXTRD
PEXTRQ
PEXTRW
PHADDD
PHADDSW
PHADDW
PHMINPOSUW
PHSUBD
PHSUBSW
PHSUBW
PINSRB
PINSRD
PINSRQ
PINSRW
PMADDUBSW
PMADDWD
PMAXSB
PMAXSD
PMAXSW
PMAXUB
PMAXUD
PMAXUW
PMINSB
PMINSD
PMINSW
PMINUB
PMINUD
PMINUW
PMOVMSKB
PMOVSXBD
PMOVSXBQ
PMOVSXBW
PMOVSXDQ
PMOVSXWD
PMOVSXWQ
PMOVZXBD
PMOVZXBQ
PMOVZXBW
PMOVZXDQ
PMOVZXWD
PMOVZXWQ
PMULDQ
PMULHRSW
PMULHUW
PMULHW
PMULLD
PMULLW
PMULUDQ
POP
POPA
POPAD
POPAW
POPCNT
POPF
POPFD
POPFQ
POR
PREFETCH
PREFETCHNTA
PREFETCHT0
PREFETCHT1
PREFETCHT2
PREFETCHW
PREFETCHWT1
PSADBW
PSHUFB
PSHUFD
PSHUFHW
PSHUFLW
PSHUFW
PSIGNB
PSIGND
PSIGNW
PSLLD
PSLLDQ
PSLLQ
PSLLW
PSRAD
PSRAW
PSRLD
PSRLDQ
PSRLQ
PSRLW
PSUBB
PSUBD
PSUBQ
PSUBSB
PSUBSW
PSUBUSB
PSUBUSW
PSUBW
PTEST
PTWRITE
PUNPCKHBW
PUNPCKHDQ
PUNPCKHQDQ
PUNPCKHWD
PUNPCKLBW
PUNPCKLDQ
PUNPCKLQDQ
PUNPCKLWD
PUSH
PUSHA
PUSHAD
PUSHF
PUSHFD
PUSHFQ
PUSHFW
PXOR
RCL
RCPPS
RCPSS
RCR
RDFSBASE
RDGSBASE
RDMSR
RDPID
RDPKRU
RDPMC
RDRAND
RDSEED
RDTSC
RDTSCP
REM
REM.UN
RET
RETF
RETFQ
RETHROW
RETN
RETNQ
ROL
ROR
RORX
ROUNDPD
ROUNDPS
ROUNDSD
ROUNDSS
RSB
RSM
RSQRTPS
RSQRTSS
SAHF
SAL
SAR
SARX
SBB
SCAS
SCASB
SCASD
SCASQ
SCASW
SETA
SETAE
SETALC
SETB
SETBE
SETC
SETE
SETG
SETGE
SETL
SETLE
SETNA
SETNAE
SETNB
SETNBE
SETNC
SETNE
SETNG
SETNGE
SETNL
SETNLE
SETNO
SETNP
SETNS
SETNZ
SETO
SETP
SETS
SETZ
SFENCE
SGDT
SHA1MSG1
SHA1MSG2
SHA1NEXTE
SHA1RNDS4
SHA256MSG1
SHA256MSG2
SHA256RNDS2
SHL
SHLD
SHLX
SHR
SHR.UN
SHRD
SHRX
SHUFPD
SHUFPS
SIDT
SLDT
SMSW
SQRTPD
SQRTPS
SQRTSD
SQRTSS
STAC
STARG
STARG.S
STC
STD
STELEM
STELEM.I1
STELEM.I2
STELEM.I4
STELEM.I8
STELEM.REF
STFLD
STI
STIND.I1
STIND.I2
STIND.I4
STIND.I8
STIND.R4
STIND.R8
STIND.REF
STLOC
STLOC.0
STLOC.1
STLOC.2
STLOC.3
STLOC.S
STM
STMXCSR
STOBJ
STOS
STOSB
STOSD
STOSQ
STOSW
STR
STSFLD
SUB
SUB.OVF
SUBPD
SUBPS
SUBSD
SUBSS
SVC
SWAPGS
SWITCH
SXTB
SXTH
SYSCALL
SYSENTER
SYSEXIT
SYSRET
TEST
THROW
TST
TZCNT
UCOMISD
UCOMISS
UD0
UD1
UD2
UNBOX
UNBOX.ANY
UNPCKHPD
UNPCKHPS
UNPCKLPD
UNPCKLPS
UXTB
VADDPD
VADDPS
VADDSD
VADDSS
VADDSUBPD
VADDSUBPS
VAESDEC
VAESDECLAST
VAESENC
VAESENCLAST
VAESIMC
VAESKEYGENASSIST
VALIGND
VALIGNQ
VANDNPD
VANDNPS
VANDPD
VANDPS
VBLENDMPD
VBLENDMPS
VBLENDPD
VBLENDPS
VBLENDVPD
VBLENDVPS
VBROADCASTF128
VBROADCASTF32X2
VBROADCASTF32X4
VBROADCASTF64X2
VBROADCASTI128
VBROADCASTI32x2
VBROADCASTI32X4
VBROADCASTI32X8
VBROADCASTI64X2
VBROADCASTI64X4
VBROADCASTSD
VBROADCASTSS
VCMPPD
VCMPPS
VCMPSD
VCMPSS
VCOMISD
VCOMISS
VCOMPRESSPD
VCOMPRESSPS
VCVTDQ2PD
VCVTDQ2PS
VCVTPD2DQ
VCVTPD2PS
VCVTPD2QQ
VCVTPD2UDQ
VCVTPD2UQQ
VCVTPH2PS
VCVTPS2DQ
VCVTPS2PD
VCVTPS2PH
VCVTPS2QQ
VCVTPS2UDQ
VCVTPS2UQQ
VCVTQQ2PD
VCVTQQ2PS
VCVTSD2SI
VCVTSD2SS
VCVTSD2USI
VCVTSI2SD
VCVTSI2SS
VCVTSS2SD
VCVTSS2SI
VCVTSS2USI
VCVTTPD2DQ
VCVTTPD2QQ
VCVTTPD2UDQ
VCVTTPD2UQQ
VCVTTPS2DQ
VCVTTPS2QQ
VCVTTPS2UDQ
VCVTTPS2UQQ
VCVTTSD2SI
VCVTTSD2USI
VCVTTSS2SI
VCVTTSS2USI
VCVTUDQ2PD
VCVTUDQ2PS
VCVTUQQ2PD
VCVTUQQ2PS
VCVTUSI2SD
VCVTUSI2SS
VDBPSADBW
VDIVPD
VDIVPS
VDIVSD
VDIVSS
VDPPD
VDPPS
VERR
VERW
VEXP2PD
VEXP2PS
VEXPANDPD
VEXPANDPS
VEXTRACTF128
VEXTRACTF32x4
VEXTRACTF64x4
VEXTRACTI128
VEXTRACTI32x4
VEXTRACTI64x4
VEXTRACTPS
VFIXUPIMMPD
VFIXUPIMMPS
VFIXUPIMMSD
VFIXUPIMMSS
VFMADD132PD
VFMADD132PS
VFMADD132SD
VFMADD132SS
VFMADD213PD
VFMADD213PS
VFMADD213SD
VFMADD213SS
VFMADD231PD
VFMADD231PS
VFMADD231SD
VFMADD231SS
VFMADDSUB132PD
VFMADDSUB132PS
VFMADDSUB213PD
VFMADDSUB213PS
VFMADDSUB231PD
VFMADDSUB231PS
VFMSUB132PD
VFMSUB132PS
VFMSUB132SD
VFMSUB132SS
VFMSUB213PD
VFMSUB213PS
VFMSUB213SD
VFMSUB213SS
VFMSUB231PD
VFMSUB231PS
VFMSUB231SD
VFMSUB231SS
VFMSUBADD132PD
VFMSUBADD132PS
VFMSUBADD213PD
VFMSUBADD213PS
VFMSUBADD231PD
VFMSUBADD231PS
VFNMADD132PD
VFNMADD132PS
VFNMADD132SD
VFNMADD132SS
VFNMADD213PD
VFNMADD213PS
VFNMADD213SD
VFNMADD213SS
VFNMADD231PD
VFNMADD231PS
VFNMADD231SD
VFNMADD231SS
VFNMSUB132PD
VFNMSUB132PS
VFNMSUB132SD
VFNMSUB132SS
VFNMSUB213PD
VFNMSUB213PS
VFNMSUB213SD
VFNMSUB213SS
VFNMSUB231PD
VFNMSUB231PS
VFNMSUB231SD
VFNMSUB231SS
VFPCLASSPD
VFPCLASSPS
VFPCLASSSD
VFPCLASSSS
VGATHERDPD
VGATHERDPS
VGATHERPF0DPD
VGATHERPF0DPS
VGATHERPF0QPD
VGATHERPF0QPS
VGATHERPF1DPD
VGATHERPF1DPS
VGATHERPF1QPD
VGATHERPF1QPS
VGATHERQPD
VGATHERQPS
VGETEXPPD
VGETEXPPS
VGETEXPSD
VGETEXPSS
VGETMANTPD
VGETMANTPS
VGETMANTSD
VGETMANTSS
VHADDPD
VHADDPS
VHSUBPD
VHSUBPS
VINSERTF128
VINSERTI128
VINSERTPS
VLDDQU
VLDMXCSR
VMASKMOVDQU
VMASKMOVPD
VMASKMOVPS
VMAXPD
VMAXPS
VMAXSD
VMAXSS
VMINPD
VMINPS
VMINSD
VMINSS
VMOVAPD
VMOVAPS
VMOVD
VMOVDDUP
VMOVDQA
VMOVDQA32
VMOVDQA64
VMOVDQU
VMOVDQU16
VMOVDQU32
VMOVDQU64
VMOVDQU8
VMOVHLPS
VMOVHPD
VMOVHPS
VMOVLHPS
VMOVLPD
VMOVLPS
VMOVMSKPD
VMOVMSKPS
VMOVNTDQ
VMOVNTDQA
VMOVNTPD
VMOVNTPS
VMOVQ
VMOVSD
VMOVSHDUP
VMOVSLDUP
VMOVSS
VMOVUPD
VMOVUPS
VMPSADBW
VMULPD
VMULPS
VMULSD
VMULSS
VOLATILE.
VORPD
VORPS
VPABSB
VPABSD
VPABSW
VPACKSSDW
VPACKSSWB
VPACKUSDW
VPACKUSWB
VPADDB
VPADDD
VPADDQ
VPADDSB
VPADDSW
VPADDUSB
VPADDUSW
VPADDW
VPALIGNR
VPAND
VPANDD
VPANDN
VPANDND
VPANDNQ
VPANDQ
VPAVGB
VPAVGW
VPBLENDD
VPBLENDMB
VPBLENDMD
VPBLENDMQ
VPBLENDMW
VPBLENDVB
VPBLENDW
VPBROADCASTB
VPBROADCASTD
VPBROADCASTMB2Q
VPBROADCASTMW2D
VPBROADCASTQ
VPBROADCASTW
VPCLMULQDQ
VPCMPB
VPCMPD
VPCMPEQB
VPCMPEQD
VPCMPEQQ
VPCMPEQW
VPCMPESTRI
VPCMPESTRM
VPCMPGTB
VPCMPGTD
VPCMPGTQ
VPCMPGTW
VPCMPISTRI
VPCMPISTRM
VPCMPQ
VPCMPUB
VPCMPUD
VPCMPUQ
VPCMPUW
VPCMPW
VPCOMPRESSD
VPCOMPRESSQ
VPCONFLICTD
VPCONFLICTQ
VPERM2F128
VPERM2I128
VPERMD
VPERMI2D
VPERMI2PD
VPERMI2PS
VPERMI2Q
VPERMI2W
VPERMILPD
VPERMILPS
VPERMPD
VPERMPS
VPERMQ
VPERMT2D
VPERMT2PD
VPERMT2PS
VPERMT2Q
VPERMT2W
VPERMW
VPEXPANDD
VPEXPANDQ
VPEXTRB
VPEXTRD
VPEXTRQ
VPEXTRW
VPGATHERDD
VPGATHERDQ
VPGATHERQD
VPGATHERQQ
VPHADDD
VPHADDSW
VPHADDW
VPHMINPOSUW
VPHSUBD
VPHSUBSW
VPHSUBW
VPINSRB
VPINSRD
VPINSRQ
VPINSRW
VPLZCNTD
VPLZCNTQ
VPMADDUBSW
VPMADDWD
VPMASKMOVD
VPMASKMOVQ
VPMAXSB
VPMAXSD
VPMAXSW
VPMAXUB
VPMAXUD
VPMAXUQ
VPMAXUW
VPMINSB
VPMINSD
VPMINSQ
VPMINSW
VPMINUB
VPMINUD
VPMINUQ
VPMINUW
VPMOVB2M
VPMOVD2M
VPMOVDB
VPMOVDW
VPMOVM2B
VPMOVM2D
VPMOVM2Q
VPMOVM2W
VPMOVMSKB
VPMOVQ2M
VPMOVQB
VPMOVQD
VPMOVQW
VPMOVSDB
VPMOVSDW
VPMOVSQB
VPMOVSQD
VPMOVSQW
VPMOVSWB
VPMOVSXBD
VPMOVSXBQ
VPMOVSXBW
VPMOVSXDQ
VPMOVSXWD
VPMOVSXWQ
VPMOVUSDB
VPMOVUSDW
VPMOVUSQB
VPMOVUSQD
VPMOVUSQW
VPMOVUSWB
VPMOVW2M
VPMOVWB
VPMOVZXBD
VPMOVZXBQ
VPMOVZXBW
VPMOVZXDQ
VPMOVZXWD
VPMOVZXWQ
VPMULDQ
VPMULHRSW
VPMULHUW
VPMULHW
VPMULLD
VPMULLQ
VPMULLW
VPMULUDQ
VPOR
VPORD
VPORQ
VPROLD
VPROLQ
VPROLVD
VPROLVQ
VPRORD
VPRORQ
VPRORVD
VPRORVQ
VPSADBW
VPSCATTERDD
VPSCATTERDQ
VPSCATTERQD
VPSCATTERQQ
VPSHUFB
VPSHUFD
VPSHUFHW
VPSHUFLW
VPSIGNB
VPSIGND
VPSIGNW
VPSLLD
VPSLLDQ
VPSLLQ
VPSLLVD
VPSLLVQ
VPSLLVW
VPSLLW
VPSRAD
VPSRAQ
VPSRAVD
VPSRAVQ
VPSRAVW
VPSRAW
VPSRLD
VPSRLDQ
VPSRLQ
VPSRLVD
VPSRLVQ
VPSRLVW
VPSRLW
VPSUBB
VPSUBD
VPSUBQ
VPSUBSB
VPSUBSW
VPSUBUSB
VPSUBUSW
VPSUBW
VPTERNLOGD
VPTERNLOGQ
VPTEST
VPTESTMB
VPTESTMD
VPTESTMQ
VPTESTMW
VPTESTNMB
VPTESTNMD
VPTESTNMQ
VPTESTNMW
VPUNPCKHBW
VPUNPCKHDQ
VPUNPCKHQDQ
VPUNPCKHWD
VPUNPCKLBW
VPUNPCKLDQ
VPUNPCKLQDQ
VPUNPCKLWD
VPXOR
VPXORD
VPXORQ
VRANGEPD
VRANGEPS
VRANGESD
VRANGESS
VRCP14PD
VRCP14PS
VRCP14SD
VRCP14SS
VRCP28PD
VRCP28PS
VRCP28SD
VRCP28SS
VRCPPS
VRCPSS
VREDUCEPD
VREDUCEPS
VREDUCESD
VREDUCESS
VRNDSCALEPD
VRNDSCALEPS
VRNDSCALESD
VRNDSCALESS
VROUNDPD
VROUNDPS
VROUNDSD
VROUNDSS
VRSQRT14PD
VRSQRT14PS
VRSQRT14SD
VRSQRT14SS
VRSQRT28PD
VRSQRT28PS
VRSQRT28SD
VRSQRT28SS
VRSQRTPS
VRSQRTSS
VSCALEFPD
VSCALEFPS
VSCALEFSD
VSCALEFSS
VSCATTERDPD
VSCATTERDPS
VSCATTERPF0DPD
VSCATTERPF0DPS
VSCATTERPF0QPD
VSCATTERPF0QPS
VSCATTERPF1DPD
VSCATTERPF1DPS
VSCATTERPF1QPD
VSCATTERPF1QPS
VSCATTERQPD
VSCATTERQPS
VSHUFF32x4
VSHUFF64x2
VSHUFI32x4
VSHUFI64x2
VSHUFPD
VSHUFPS
VSQRTPD
VSQRTPS
VSQRTSD
VSQRTSS
VSTMXCSR
VSUBPD
VSUBPS
VSUBSD
VSUBSS
VTESTPD
VTESTPS
VUCOMISD
VUCOMISS
VUNPCKHPD
VUNPCKHPS
VUNPCKLPD
VUNPCKLPS
VXORPD
VXORPS
VZEROALL
VZEROUPPER
WAIT
WBINVD
WRFSBASE
WRGSBASE
WRMSR
WRPKRU
XABORT
XADD
XBEGIN
XCHG
XEND
XGETBV
XLAT
XLATB
XOR
XORPD
XORPS
XRSTOR
XRSTOR64
XRSTORS
XRSTORS64
XSAVE
XSAVE64
XSAVEC
XSAVEC64
XSAVEOPT
XSAVEOPT64
XSAVES
XSAVES64
XSETBV
XTEST
XTRACTFYL2X
